url,Date,Level,name,type,extra
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/lobster-crab-and-seafood-stuffed-mushroom.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,lobster-crab-and-seafood-stuffed-mushroom,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/parrot-isle-jumbo-coconut-shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,parrot-isle-jumbo-coconut-shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/tilapia_1800x614_core.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,tilapia_1800x614_core,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/Headers/detailpageimage_salad_333x227.jpg?sfvrsn=0,detailpageimage_salad_333x227.jpg?sfvrsn=0,,detailpageimage_salad_333x227,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/lunch_tacos.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,lunch_tacos,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/shrimp_woodgrilled_chicken_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,shrimp_woodgrilled_chicken_can,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/kids/kids_macaroni_and_cheese.jpg?sfvrsn=2&size=1125,menu-items,kids,kids_macaroni_and_cheese,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crunchy_popcorn_shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,crunchy_popcorn_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/classic-caesar-salad.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,classic-caesar-salad,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/coastal_soup_and_salad.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,coastal_soup_and_salad,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/Headers/lunch-item-detail-page-header_1800x614.jpg?sfvrsn=0&size=1125,lunch-item-detail-page-header_1800x614.jpg?sfvrsn=0&size=1125,,lunch-item-detail-page-header_1800x614,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/roasted_maine_lobster_bake.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,roasted_maine_lobster_bake,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/rl_desktop_menu_detail-addside.jpg,dist,images,rl_desktop_menu_detail-addside,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/wood_grilled_peppercorn_sirloin.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,wood_grilled_peppercorn_sirloin,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/kids/kids_popcorn_shrimp.jpg?sfvrsn=2&size=1125,menu-items,kids,kids_popcorn_shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/rock_lobster_tail_can.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,rock_lobster_tail_can,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/Headers/detailpageimage_lobsterroll_333x227.jpg?sfvrsn=0,detailpageimage_lobsterroll_333x227.jpg?sfvrsn=0,,detailpageimage_lobsterroll_333x227,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crablegs_1800x614_core.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,crablegs_1800x614_core,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/sweet-chili-shrimp.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,sweet-chili-shrimp,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/rl_desktop_menu_detail-addmeal.jpg,dist,images,rl_desktop_menu_detail-addmeal,jpg,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/coconutshrimp_1800x614_core.jpg?sfvrsn=0&size=1125,menu-items,lunch-dinner,coconutshrimp_1800x614_core,jpg,sfvrsn=0&size=1125
https://www.redlobster.ca/images/default-source/images/social-photos/341x341_sillydad.jpg?sfvrsn=0,social-photos,341x341_sillydad.jpg?sfvrsn=0,341x341_sillydad,jpg,sfvrsn=0
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/lobster_scampi_linguini.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,lobster_scampi_linguini,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crunch-fried_fish_sandwich.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,crunch-fried_fish_sandwich,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/bacon-cheddar-chicken-club.jpg?sfvrsn=4&size=1125,menu-items,lunch-dinner,bacon-cheddar-chicken-club,jpg,sfvrsn=4&size=1125
https://www.redlobster.ca/ResourcePackages/RedLobster/assets/dist/images/gc-desktop-right.png,dist,images,gc-desktop-right,png,
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/bar_harbor_lobster_bake.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,bar_harbor_lobster_bake,jpg,sfvrsn=2&size=1125
https://www.redlobster.ca/images/default-source/images/menu-items/lunch-dinner/crab_linguini_alfredo.jpg?sfvrsn=2&size=1125,menu-items,lunch-dinner,crab_linguini_alfredo,jpg,sfvrsn=2&size=1125
